Iteration,Duration,Average Loss,Learning Rate
0,1.377993106842041,9.268863677978516,0.0
1,2.6415390968322754,9.088338851928711,0.0002
2,3.8596949577331543,8.778640747070312,0.0004
3,5.088227987289429,8.37810230255127,0.0006000000000000001
4,6.308578968048096,7.9707536697387695,0.0008
5,7.498639106750488,7.456007957458496,0.001
6,8.716332912445068,7.062281131744385,0.000996451615591515
7,10.007714033126831,6.5999345779418945,0.000985862422507884
8,11.293601989746094,6.323720455169678,0.0009683994186497131
9,14.285938024520874,6.033343315124512,0.0009443380060197386
10,15.564628839492798,5.877295970916748,0.0009140576474687263
11,16.788998126983643,5.783294677734375,0.0008780358823396353
12,18.01139497756958,5.655919075012207,0.0008368407953869105
13,19.25139594078064,5.484271049499512,0.0007911220577405485
14,20.45933985710144,5.500014305114746,0.0007416006812042827
15,21.689003944396973,5.313761234283447,0.0006890576474687264
16,23.008705854415894,5.272923946380615,0.0006343215915635762
17,24.34661102294922,5.080460548400879,0.0005782557337881911
18,25.61699914932251,5.203041076660156,0.000521744266211809
19,26.846889972686768,5.241715431213379,0.0004656784084364239
20,28.0590660572052,5.2403106689453125,0.0004109423525312738
21,29.4773850440979,5.162971019744873,0.0003583993187957173
22,30.857247829437256,5.074942111968994,0.0003088779422594514
23,32.117356061935425,4.989025115966797,0.0002631592046130896
24,33.44209408760071,5.071593284606934,0.0002219641176603649
25,34.78408908843994,5.083704948425293,0.00018594235253127368
26,36.06662607192993,4.988397121429443,0.0001556619939802614
27,37.36281418800354,4.962302207946777,0.0001316005813502869
28,38.6425199508667,5.002789497375488,0.00011413757749211607
29,39.921530961990356,4.994622707366943,0.00010354838440848502
